Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
"The Alchemist Paperback – Deckle Edge, April 15, 2014",$10.35 ,Books > Literature & Fiction > Literary,Paulo Coelho,208 pages,"HarperOne; Anniversary edition (April 15, 2014)",English,5.3 x 0.5 x 8 inches,4.6 out of 5 stars
"The Last Jedi: Expanded Edition (Star Wars) Hardcover – March 6, 2018",$17.39 ,Books > Literature & Fiction > Genre Fiction,Jason Fry,,"Del Rey (March 6, 2018)",English,6.4 x 1.2 x 9.5 inches,3.9 out of 5 stars
"A Spark of Light: A Novel Hardcover – October 2, 2018",$25.10 ,Books > Literature & Fiction > Genre Fiction,Jodi Picoult,,"Ballantine Books (October 2, 2018)",English,6.1 x 9.2 inches,
"Pachinko (National Book Award Finalist) Paperback – November 14, 2017",$12.35 ,Books > Literature & Fiction > Genre Fiction,Min Jin Lee,512 pages,"Grand Central Publishing; Reprint edition (November 14, 2017)",English,5.2 x 1.3 x 8 inches,4.4 out of 5 stars
"The Kremlin Conspiracy Hardcover – March 6, 2018",$18.29 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,,"Tyndale House Publishers, Inc. (March 6, 2018)",English,5.8 x 1.7 x 9.1 inches,4.8 out of 5 stars
"The Nightingale: A Novel Paperback – April 25, 2017",$11.59 ,Books > Literature & Fiction > Genre Fiction,Kristin Hannah,608 pages,"St. Martin's Griffin; Reprint edition (April 25, 2017)",English,5.5 x 1.6 x 8.3 inches,4.8 out of 5 stars
"The Immortalists Hardcover – January 9, 2018",$17.16 ,Books > Literature & Fiction > Genre Fiction,Chloe Benjamin,,"G.P. Putnam's Sons; First Edition edition (January 9, 2018)",English,6.2 x 1.1 x 9.3 inches,4.0 out of 5 stars
"Milk and Vine: Inspirational Quotes From Classic Vines Paperback – October 22, 2017",$3.59 ,Books > Humor & Entertainment > Humor,Adam GasiewskiEmily Beck,77 pages,"Independently published (October 22, 2017)",English,6 x 0.2 x 9 inches,3.9 out of 5 stars
"Origin: A Novel Hardcover – October 3, 2017",$16.77 ,Books > Literature & Fiction > Action & Adventure,Dan Brown,,"Doubleday; 1st Edition edition (October 3, 2017)",English,6.3 x 1.6 x 9.6 inches,4.2 out of 5 stars
"We Were the Lucky Ones: A Novel Paperback – January 2, 2018",$8.97 ,Books > Literature & Fiction > Genre Fiction,Georgia Hunter,416 pages,"Penguin Books; Reprint edition (January 2, 2018)",English,5.4 x 0.9 x 8.2 inches,4.8 out of 5 stars
"Fahrenheit 451 Paperback – January 10, 2012",$9.99 ,Books > Politics & Social Sciences > Politics & Government,Ray Bradbury,249 pages,"Simon & Schuster; Reissue edition (January 10, 2012)",English,5.5 x 0.9 x 8.4 inches,4.4 out of 5 stars
"Sing, Unburied, Sing: A Novel Hardcover – September 5, 2017",$14.79 ,Books > Literature & Fiction > Genre Fiction,Jesmyn Ward,,"Scribner; First Edition/First Printing edition (September 5, 2017)",English,5.5 x 1.2 x 8.4 inches,4.4 out of 5 stars
"Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance Hardcover – November 18, 2014",$31.50 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,,"FSG Originals; First Edition edition (November 18, 2014)",English,6.6 x 1.8 x 8.5 inches,3.7 out of 5 stars
"1984 (Signet Classics) Mass Market Paperback – Unabridged, July 1, 1950",$6.17 ,Books > Humor & Entertainment > Humor,George Orwell,328 pages,"Signet Classic (January 1, 1961)",English,4.2 x 0.9 x 7.5 inches,4.5 out of 5 stars
"Dungeon Master's Screen Reincarnated Book Supplement – September 19, 2017",$10.71 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,,"Wizards of the Coast; Brdgm edition (September 19, 2017)",English,8.5 x 0.4 x 10.8 inches,4.7 out of 5 stars
"Burn Bright (Alpha and Omega) Hardcover – March 6, 2018",$16.20 ,Books > Science Fiction & Fantasy > Fantasy,Patricia Briggs,,"Ace (March 6, 2018)",English,6.4 x 1 x 9.3 inches,4.7 out of 5 stars
"Altered Carbon (Takeshi Kovacs) Paperback – March 4, 2003",$12.98 ,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,375 pages,"Del Rey; 1st edition (March 4, 2003)",English,6.1 x 0.9 x 9.2 inches,4.3 out of 5 stars
"Authority: A Novel (The Southern Reach Trilogy) Paperback – May 6, 2014",$13.39 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,352 pages,"FSG Originals; First Printing edition (May 6, 2014)",English,5 x 0.9 x 7.5 inches,3.6 out of 5 stars
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",$32.49 ,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,5216 pages,"Bantam; Media Tie In edition (October 29, 2013)",English,8 x 4.5 x 7 inches,4.7 out of 5 stars
