Name,Sale Price,Category,Author,Pages,Publisher,Language,Dimensions,Rating
Extinction Horizon,$5.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Apocalyptic & Post-Apocalyptic,Nicholas Sansbury Smith,368,Orbit,English,7.50 x 4.25 x 1.00 Inches,
Avenging Home,$13.68 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Angery American,325,Lightning Source Inc,English,8.00 x 5.00 x 0.50 Inches,
Death's End,$5.15 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,Cixin Liu,608,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 40.77 Inches (US),
Saga 1,$32.71 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Staples, FionaVaughan, Brian K.",504,Diamond Comic Distributors,English,8.00 x 10.00 x 1.00 Inches,5
ORDINARY GRACE: A NOVEL,$9.01 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 8601 >  > in > Books > # > 782 >  > in > Books > Literature & Fiction > # > 53 >  > in > Books > Literature & Fiction > Literary",William Kent Krueger,336,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),5
IF NOT FOR YOU: A NOVEL,$7.80 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"MACOMBER, DEBBIE",448,Random House,English,7.00 x 4.25 x 1.50 Inches,
"The Cat, the Devil, and Lee Fontana",$6.48 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Murphy, Pat J. J.Rousseau, Shirley",314,HarperCollins,English,6.75 x 4.25 x 1.00 Inches,
"LION, THE",$9.93 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 26047 >  > in > Books > # > 317 >  > in > Books > Mystery & Suspense > # > 122 >  > in > Books > Mystery & Suspense > Thrillers",Nelson DeMille,576,Grand Central Publishing,English,7.75 x 4.25 x 1.25 Inches (US),4
Empire of Silver,$4.49 ,Books > Literature & Fiction > Fiction > Historical,"Iggulden, Conn",446,Harper Collins,,7.81 x 5.01 x 1.26 Inches,
Lover Enshrined : A Novel of The Black Dagger Brotherhood,$7.18 ,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 6411 >  > in > Books > # > 102 >  > in > Books > Romance > # > 16 >  > in > Books > Romance > Paranormal,J.R. Ward,560,BerkleyPenguin Publishing Group,English,6.75 x 4.13 x 1.25 Inches (US),4.8
Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,$11.44 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,312,Yen PressYen On,English,,
Neverwhere,$12.63 ,Books > Literature & Fiction > Fiction > Literary,"Gaiman, Neil",435,HarperCollins,English,8.00 x 5.25 x 1.50 Inches,
Star Trek Best Defense,$7.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,David Mack,384,Pocket Books/Star Trek,English,6.75 x 104.78 x 25.40 Inches (US),
Norse Mythology,$13.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",299,W W Norton &amp; Co Inc,English,8.50 x 5.75 x 1.25 Inches,
Along Came a Spider (Alex Cross),$6.48 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage > Best seller ranking: > # > 4990 >  > in > Books > # > 31 >  > in > Books > Mystery & Suspense > # > 1 >  > in > Books > Mystery & Suspense > Police Procedural",James Patterson,528,Grand Central Pub Mass Market,English,6.75 x 4.00 x 1.00 Inches,
Straken,$7.72 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",432,Random House,English,6.95 x 4.20 x 1.05 Inches,
Lemon Tart,$17.44 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Josi S. Kilpack,368,Shadow MountainShadow Mountain Publishing,English,8.25 x 139.70 x 1.00 Inches (US),
The Path of Daggers,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Robert Jordan,704,Tom Doherty AssociatesTor Fantasy,English,6.76 x 104.65 x 1.56 Inches (US),5
The Terry Pratchett Diary: Mind How You Go...,$20.64 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Terry Pratchett,128,Orion Publishing GroupGollancz,,,
The Secret Speech,$3.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",Tom Rob Smith,448,Grand Central Publishing,English,8.00 x 5.25 x 1.50 Inches (US),
Armada (Paperback),$15.43 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Cline, Ernest",,Cornerstone,,,
The Mystery of Ireta,$6.39 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"McCaffrey, Anne",480,Random House,English,7.00 x 4.25 x 1.25 Inches,
Wicked,$6.11 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 2598 >  > in > Books > # > 199 >  > in > Books > Literature & Fiction > # > 33 >  > in > Books > Literature & Fiction > General,"Maguire, Gregory",538,HarperCollins,English,7.00 x 4.00 x 1.25 Inches,4.6
Zombie Survival Transport,$16.82 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Alien Contact,Sean T. Page,64,Haynes Publishing UK,English,,
"""A"" Is for Alibi: A Kinsey Millhone Mystery",$14.53 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Sue Grafton,320,St. Martin's PressSt. Martin's Griffin,English,8.16 x 142.49 x 22.35 Inches (US),
Legends and Liars,$13.85 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Julia Knight,400,Orbit,English,8.25 x 5.50 x 1.00 Inches (US),
Poison 2 (the Cartel Publications Presents),$15.00 ,Books > Literature & Fiction > Fiction > African American,"Harris, K. D.Harris, Kd",200,Cartel Publications,English,5.50 x 0.60 x 8.40 Inches,
Death Without Company : A Longmire Mystery,$11.00 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Craig Johnson,320,Penguin BooksPenguin Publishing Group,English,,
Gone Tomorrow: (Jack Reacher 13) (Audio CD),$18.03 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Child, Lee, Shale, Kerry",,Cornerstone,,,
Caramel Crush,$6.42 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Jenn McKinlay,304,BerkleyPenguin Publishing Group,English,,
Rotten to the Core,$7.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 71029 >  > in > Books > # > 976 >  > in > Books > Mystery & Suspense > # > 264 >  > in > Books > Mystery & Suspense > Women Sleuths",Sheila Connolly,304,BerkleyPenguin Publishing Group,English,,
The Lord of the Rings : 50th Anniversary Edition,$60.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 331 >  > in > Books > # > 28 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,1184,Houghton Mifflin Harcourt,English,9.25 x 155.57 x 2.99 Inches (US),4.9412
The Couple Next Door,$13.59 ,Books > Literature & Fiction > Fiction > Psychological,"Lapena, Shari",435,Christian Large Print,,5.50 x 8.50 x 1.00 Inches,
GRAND OPENING 2: A FAMILY BUSINESS NOVEL -- AA,$13.72 ,Books > Literature & Fiction > Fiction > African American,"WEBER, CARL",288,Kensington Pub Corp,,6.50 x 9.25 x 1.25 Inches,
CANTO BIGHT (STAR WARS),$16.01 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"AHMED, SALADIN",320,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,
Dark Curse,$7.18 ,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 13391 >  > in > Books > # > 327 >  > in > Books > Romance > # > 70 >  > in > Books > Romance > Paranormal,Christine Feehan,464,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.22 Inches (US),5
