Name,Sale Price,Category,Availability,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"The Alchemist Paperback – Deckle Edge, April 15, 2014",$10.35,Books > Literature & Fiction > Literary,In Stock.,http://www.amazon.com/gp/product/0062315005,Paulo Coelho,0062315005,208 pages,"HarperOne; Anniversary edition (April 15, 2014)",English,5.3 x 0.5 x 8 inches,4.8 ounces,4.6 out of 5 stars
"The Last Jedi: Expanded Edition (Star Wars) Hardcover – March 6, 2018",$17.39,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1524797111,Jason Fry,1524797111,,"Del Rey (March 6, 2018)",English,6.4 x 1.2 x 9.5 inches,1.2 pounds,3.9 out of 5 stars
"A Spark of Light: A Novel Hardcover – October 2, 2018",$25.10,Books > Literature & Fiction > Genre Fiction,"This title will be released on October 2, 2018.",http://www.amazon.com/gp/product/0345544986,Jodi Picoult,0345544986,,"Ballantine Books (October 2, 2018)",English,6.1 x 9.2 inches,1.2 pounds,
"Pachinko (National Book Award Finalist) Paperback – November 14, 2017",$12.35,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1455563927,Min Jin Lee,1455563927,512 pages,"Grand Central Publishing; Reprint edition (November 14, 2017)",English,5.2 x 1.3 x 8 inches,12 ounces,4.4 out of 5 stars
"The Kremlin Conspiracy Hardcover – March 6, 2018",$18.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",In Stock.,http://www.amazon.com/gp/product/1496406176,Joel C. Rosenberg,1496406176,,"Tyndale House Publishers, Inc. (March 6, 2018)",English,5.8 x 1.7 x 9.1 inches,1.6 pounds,4.8 out of 5 stars
"The Nightingale: A Novel Paperback – April 25, 2017",$11.59,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1250080401,Kristin Hannah,1250080401,608 pages,"St. Martin's Griffin; Reprint edition (April 25, 2017)",English,5.5 x 1.6 x 8.3 inches,1.1 pounds,4.8 out of 5 stars
"The Immortalists Hardcover – January 9, 2018",$17.16,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0735213186,Chloe Benjamin,0735213186,,"G.P. Putnam's Sons; First Edition edition (January 9, 2018)",English,6.2 x 1.1 x 9.3 inches,15.4 ounces,4.0 out of 5 stars
"Milk and Vine: Inspirational Quotes From Classic Vines Paperback – October 22, 2017",$3.59,Books > Humor & Entertainment > Humor,In Stock.,http://www.amazon.com/gp/product/1973124262,Adam GasiewskiEmily Beck,1973124262,77 pages,"Independently published (October 22, 2017)",English,6 x 0.2 x 9 inches,4.2 ounces,3.9 out of 5 stars
"Origin: A Novel Hardcover – October 3, 2017",$16.77,Books > Literature & Fiction > Action & Adventure,In Stock.,http://www.amazon.com/gp/product/0385514239,Dan Brown,0385514239,,"Doubleday; 1st Edition edition (October 3, 2017)",English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4.2 out of 5 stars
"We Were the Lucky Ones: A Novel Paperback – January 2, 2018",$8.97,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/0399563091,Georgia Hunter,0399563091,416 pages,"Penguin Books; Reprint edition (January 2, 2018)",English,5.4 x 0.9 x 8.2 inches,11.4 ounces,4.8 out of 5 stars
"Fahrenheit 451 Paperback – January 10, 2012",$9.99,Books > Politics & Social Sciences > Politics & Government,In Stock.,http://www.amazon.com/gp/product/1451673310,Ray Bradbury,1451673310,249 pages,"Simon & Schuster; Reissue edition (January 10, 2012)",English,5.5 x 0.9 x 8.4 inches,6.2 ounces,4.4 out of 5 stars
"Sing, Unburied, Sing: A Novel Hardcover – September 5, 2017",$14.79,Books > Literature & Fiction > Genre Fiction,In Stock.,http://www.amazon.com/gp/product/1501126067,Jesmyn Ward,1501126067,,"Scribner; First Edition/First Printing edition (September 5, 2017)",English,5.5 x 1.2 x 8.4 inches,1 pounds,4.4 out of 5 stars
