Name,Sale Price,Category,URL,Author,ISBN10,Pages,Publisher,Language,Dimensions,Rating
Extinction Horizon,$5.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Apocalyptic & Post-Apocalyptic,http://www.walmart.com/ip/55391505,Nicholas Sansbury Smith,6557994,368,Orbit,English,7.50 x 4.25 x 1.00 Inches,
Avenging Home,$13.68,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/53443657,Angery American,0996696016,325,Lightning Source Inc,English,8.00 x 5.00 x 0.50 Inches,
Death's End,$5.15,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,http://www.walmart.com/ip/56022881,Cixin Liu,0765386631,608,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 40.77 Inches (US),
Saga 1,$32.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,http://www.walmart.com/ip/37278559,"Staples, FionaVaughan, Brian K.",2150783,504,Diamond Comic Distributors,English,8.00 x 10.00 x 1.00 Inches,5
ORDINARY GRACE: A NOVEL,$9.01,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 8601 >  > in > Books > # > 782 >  > in > Books > Literature & Fiction > # > 53 >  > in > Books > Literature & Fiction > Literary",http://www.walmart.com/ip/26738325,William Kent Krueger,1645855,336,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),5
IF NOT FOR YOU: A NOVEL,$7.80,Books > Literature & Fiction > Fiction > Romance > Contemporary,http://www.walmart.com/ip/55993223,"MACOMBER, DEBBIE",0553391984,448,Random House,English,7.00 x 4.25 x 1.50 Inches,
"The Cat, the Devil, and Lee Fontana",$6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",http://www.walmart.com/ip/38314213,"Murphy, Pat J. J.Rousseau, Shirley",2268829,314,HarperCollins,English,6.75 x 4.25 x 1.00 Inches,
"LION, THE",$9.93,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 26047 >  > in > Books > # > 317 >  > in > Books > Mystery & Suspense > # > 122 >  > in > Books > Mystery & Suspense > Thrillers",http://www.walmart.com/ip/17799701,Nelson DeMille,6619259,576,Grand Central Publishing,English,7.75 x 4.25 x 1.25 Inches (US),4
Empire of Silver,$4.49,Books > Literature & Fiction > Fiction > Historical,http://www.walmart.com/ip/822592559,"Iggulden, Conn",0007201818,446,Harper Collins,,7.81 x 5.01 x 1.26 Inches,
Lover Enshrined : A Novel of The Black Dagger Brotherhood,$7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 6411 >  > in > Books > # > 102 >  > in > Books > Romance > # > 16 >  > in > Books > Romance > Paranormal,http://www.walmart.com/ip/6021999,J.R. Ward,1222720,560,BerkleyPenguin Publishing Group,English,6.75 x 4.13 x 1.25 Inches (US),4.8
Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,$11.44,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,http://www.walmart.com/ip/55863155,Fujino Omori,0316318221,312,Yen PressYen On,English,,
Neverwhere,$12.63,Books > Literature & Fiction > Fiction > Literary,http://www.walmart.com/ip/56047039,"Gaiman, Neil",0062821334,435,HarperCollins,English,8.00 x 5.25 x 1.50 Inches,
Star Trek Best Defense,$7.80,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,http://www.walmart.com/ip/49742985,David Mack,6753108,384,Pocket Books/Star Trek,English,6.75 x 104.78 x 25.40 Inches (US),
Norse Mythology,$13.80,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,http://www.walmart.com/ip/54868910,"Gaiman, Neil",039360909X,299,W W Norton &amp; Co Inc,English,8.50 x 5.75 x 1.25 Inches,
